k,wcss,bcss,explained_var,wcss/bcss
2,635.5035470382828,858.496452961717,0.5746294865874947,0.7402518028418947
3,443.41641097408547,1050.5835890259143,0.7032018668178812,0.42206675947148065
4,336.11672838235614,1157.8832716176437,0.7750222701590656,0.2902855034020637
5,274.1333752632954,1219.8666247367044,0.8165104583244341,0.22472405565031692
6,221.18186248560363,1272.818137514396,0.8519532379614433,0.17377334276327594
7,192.27477323072566,1301.725226769274,0.8713020259499827,0.1477076492616868
8,168.4444752367135,1325.5555247632863,0.8872526939513297,0.12707462802570552
9,150.22334244209947,1343.7766575579003,0.899448900641165,0.11179189755766887
10,136.46330798392623,1357.5366920160736,0.9086590977349892,0.10052274003825634
11,127.45991348344664,1366.5400865165532,0.9146854662092058,0.09327199014582489
12,117.56807427328091,1376.4319257267189,0.9213065098572417,0.08541510268385277
